Date,Ticker,Close_Price,Bank
2021-03-12,BMO.TO,89.71,BMO
2021-03-12,CM.TO,48.79,CIBC
2021-03-12,RY.TO,96.8,Royal Bank
2021-03-12,BNS.TO,59.9,Scotiabank
2021-03-12,TD.TO,65.66,TD Bank
2021-03-15,BMO.TO,89.31,BMO
2021-03-15,CM.TO,48.56,CIBC
2021-03-15,RY.TO,96.36,Royal Bank
2021-03-15,BNS.TO,59.49,Scotiabank
2021-03-15,TD.TO,65.99,TD Bank
2021-03-16,BMO.TO,89.22,BMO
2021-03-16,CM.TO,48.75,CIBC
2021-03-16,RY.TO,96.42,Royal Bank
2021-03-16,BNS.TO,59.61,Scotiabank
2021-03-16,TD.TO,66.06,TD Bank
2021-03-17,BMO.TO,90.08,BMO
2021-03-17,CM.TO,48.99,CIBC
2021-03-17,RY.TO,96.77,Royal Bank
2021-03-17,BNS.TO,59.62,Scotiabank
2021-03-17,TD.TO,66.14,TD Bank
2021-03-18,BMO.TO,91.03,BMO
2021-03-18,CM.TO,49.65,CIBC
2021-03-18,RY.TO,97.29,Royal Bank
2021-03-18,BNS.TO,59.76,Scotiabank
2021-03-18,TD.TO,66.76,TD Bank
2021-03-19,BMO.TO,90.83,BMO
2021-03-19,CM.TO,49.69,CIBC
2021-03-19,RY.TO,96.88,Royal Bank
2021-03-19,BNS.TO,59.46,Scotiabank
2021-03-19,TD.TO,66.28,TD Bank
2021-03-22,BMO.TO,90.16,BMO
2021-03-22,CM.TO,49.33,CIBC
2021-03-22,RY.TO,96.41,Royal Bank
2021-03-22,BNS.TO,59.33,Scotiabank
2021-03-22,TD.TO,66.05,TD Bank
2021-03-23,BMO.TO,89.26,BMO
2021-03-23,CM.TO,49.06,CIBC
2021-03-23,RY.TO,96.29,Royal Bank
2021-03-23,BNS.TO,58.95,Scotiabank
2021-03-23,TD.TO,65.71,TD Bank
2021-03-24,BMO.TO,90.0,BMO
2021-03-24,CM.TO,49.32,CIBC
2021-03-24,RY.TO,96.39,Royal Bank
2021-03-24,BNS.TO,59.02,Scotiabank
2021-03-24,TD.TO,65.59,TD Bank
2021-03-25,BMO.TO,91.36,BMO
2021-03-25,CM.TO,49.66,CIBC
2021-03-25,RY.TO,96.67,Royal Bank
2021-03-25,BNS.TO,59.37,Scotiabank
2021-03-25,TD.TO,66.03,TD Bank
2021-03-26,BMO.TO,91.95,BMO
2021-03-26,CM.TO,49.62,CIBC
2021-03-26,RY.TO,97.31,Royal Bank
2021-03-26,BNS.TO,60.06,Scotiabank
2021-03-26,TD.TO,66.65,TD Bank
2021-03-29,BMO.TO,91.59,BMO
2021-03-29,CM.TO,49.21,CIBC
2021-03-29,RY.TO,97.36,Royal Bank
2021-03-29,BNS.TO,59.95,Scotiabank
2021-03-29,TD.TO,66.31,TD Bank
2021-03-30,BMO.TO,92.12,BMO
2021-03-30,CM.TO,49.22,CIBC
2021-03-30,RY.TO,97.37,Royal Bank
2021-03-30,BNS.TO,60.08,Scotiabank
2021-03-30,TD.TO,66.44,TD Bank
2021-03-31,BMO.TO,91.19,BMO
2021-03-31,CM.TO,48.78,CIBC
2021-03-31,RY.TO,96.32,Royal Bank
2021-03-31,BNS.TO,59.38,Scotiabank
2021-03-31,TD.TO,65.91,TD Bank
2021-04-01,BMO.TO,91.98,BMO
2021-04-01,CM.TO,49.09,CIBC
2021-04-01,RY.TO,96.43,Royal Bank
2021-04-01,BNS.TO,59.67,Scotiabank
2021-04-01,TD.TO,66.31,TD Bank
2021-04-05,BMO.TO,92.49,BMO
2021-04-05,CM.TO,49.28,CIBC
2021-04-05,RY.TO,96.84,Royal Bank
2021-04-05,BNS.TO,59.83,Scotiabank
2021-04-05,TD.TO,67.12,TD Bank
2021-04-06,BMO.TO,92.06,BMO
2021-04-06,CM.TO,49.23,CIBC
2021-04-06,RY.TO,96.83,Royal Bank
2021-04-06,BNS.TO,59.73,Scotiabank
2021-04-06,TD.TO,67.1,TD Bank
2021-04-07,BMO.TO,92.66,BMO
2021-04-07,CM.TO,49.3,CIBC
2021-04-07,RY.TO,96.88,Royal Bank
2021-04-07,BNS.TO,59.65,Scotiabank
2021-04-07,TD.TO,67.27,TD Bank
2021-04-08,BMO.TO,93.08,BMO
2021-04-08,CM.TO,49.14,CIBC
2021-04-08,RY.TO,97.09,Royal Bank
2021-04-08,BNS.TO,59.82,Scotiabank
2021-04-08,TD.TO,67.12,TD Bank
2021-04-09,BMO.TO,93.52,BMO
2021-04-09,CM.TO,49.12,CIBC
2021-04-09,RY.TO,97.35,Royal Bank
2021-04-09,BNS.TO,59.83,Scotiabank
2021-04-09,TD.TO,67.28,TD Bank
2021-04-12,BMO.TO,94.2,BMO
2021-04-12,CM.TO,49.34,CIBC
2021-04-12,RY.TO,97.75,Royal Bank
2021-04-12,BNS.TO,59.96,Scotiabank
2021-04-12,TD.TO,67.87,TD Bank
2021-04-13,BMO.TO,92.68,BMO
2021-04-13,CM.TO,49.18,CIBC
2021-04-13,RY.TO,97.41,Royal Bank
2021-04-13,BNS.TO,59.22,Scotiabank
2021-04-13,TD.TO,67.48,TD Bank
2021-04-14,BMO.TO,93.03,BMO
2021-04-14,CM.TO,49.32,CIBC
2021-04-14,RY.TO,97.54,Royal Bank
2021-04-14,BNS.TO,59.28,Scotiabank
2021-04-14,TD.TO,67.35,TD Bank
2021-04-15,BMO.TO,93.25,BMO
2021-04-15,CM.TO,49.21,CIBC
2021-04-15,RY.TO,98.11,Royal Bank
2021-04-15,BNS.TO,59.15,Scotiabank
2021-04-15,TD.TO,67.07,TD Bank
2021-04-16,BMO.TO,93.47,BMO
2021-04-16,CM.TO,49.48,CIBC
2021-04-16,RY.TO,98.5,Royal Bank
2021-04-16,BNS.TO,59.28,Scotiabank
2021-04-16,TD.TO,67.28,TD Bank
2021-04-19,BMO.TO,92.86,BMO
2021-04-19,CM.TO,49.39,CIBC
2021-04-19,RY.TO,98.05,Royal Bank
2021-04-19,BNS.TO,58.96,Scotiabank
2021-04-19,TD.TO,66.82,TD Bank
2021-04-20,BMO.TO,91.72,BMO
2021-04-20,CM.TO,49.0,CIBC
2021-04-20,RY.TO,96.93,Royal Bank
2021-04-20,BNS.TO,58.64,Scotiabank
2021-04-20,TD.TO,66.53,TD Bank
2021-04-21,BMO.TO,92.63,BMO
2021-04-21,CM.TO,49.26,CIBC
2021-04-21,RY.TO,97.36,Royal Bank
2021-04-21,BNS.TO,59.18,Scotiabank
2021-04-21,TD.TO,67.12,TD Bank
2021-04-22,BMO.TO,92.74,BMO
2021-04-22,CM.TO,49.57,CIBC
2021-04-22,RY.TO,97.2,Royal Bank
2021-04-22,BNS.TO,59.22,Scotiabank
2021-04-22,TD.TO,67.18,TD Bank
2021-04-23,BMO.TO,94.43,BMO
2021-04-23,CM.TO,50.16,CIBC
2021-04-23,RY.TO,97.8,Royal Bank
2021-04-23,BNS.TO,59.59,Scotiabank
2021-04-23,TD.TO,68.36,TD Bank
2021-04-26,BMO.TO,95.0,BMO
2021-04-26,CM.TO,50.28,CIBC
2021-04-26,RY.TO,97.96,Royal Bank
2021-04-26,BNS.TO,59.61,Scotiabank
